1001,日経２２５,0,1,0,0,0,0,0,0,0,0
1418,インターライフホールディングス(株),13,4,15015129,0.00,0,0.63,-6.10,168.55,100,0,2011-3,2011-5-2,12,9670,-75,-65,-91,-6.10,0,162.87,4182,2445,2500,400,58.5,0,-2.18,-3.72,-1.55
1491,中外鉱業(株),22,2 7,289747982,0.00,17.12,0.77,1.11,24.58,100,0,2011-3,2011-5-13,12,31778,-387,-437,322,1.11,0,27.55,9351,7978,12782,808,85.3,0,3.59,4.12,-4.88
1514,住石ホールディングス(株),4,1,58875853,0.00,20.35,1.73,3.44,40.40,100,0,2011-3,2011-5-13,12,33638,392,675,202,3.44,3.02,42.98,17523,5028,2500,8361,28.7,0,1.18,4.09,3.95
1515,日鉄鉱業(株),4,1,83523195,7.00,16.11,0.39,19.68,805.84,1000,1,2011-3,2011-5-10,12,107741,5124,4730,1638,19.68,0,817.94,136145,68113,4176,25618,50.0,0,1.17,2.37,3.38
1518,三井松島産業(株),4,1 11,138677572,4.00,4.52,0.77,32.31,189.72,1000,0,2011-3,2011-5-12,12,87658,3102,2553,4480,32.31,0,174.91,49022,24251,8571,15697,49.5,0,9.14,20.16,5.21
1605,国際石油開発帝石(株),4,1,3655809,6000.00,12.86,0.94,40832.40,560508.74,1,0,2011-3,2011-5-11,12,943080,529742,508587,128699,40832.40,0,546958.90,2680379,1996889,290809,273147,74.5,0,5.48,7.61,21.67
1606,日本海洋掘削(株),4,1,18000000,25.00,7.78,1.02,311.65,2389.11,100,0,2011-3,2011-5-12,12,28290,5492,7234,5609,311.65,0,2361.10,67803,42500,7572,16140,62.7,0,8.59,13.92,11.08
1661,関東天然瓦斯開発(株),4,1,60996473,12.00,10.72,0.38,37.60,1059.21,1000,0,2010-12,2011-2-15,12,57245,2778,3614,1823,37.60,36.99,1038.03,74991,49918,7902,2158,66.6,0,2.45,3.67,4.86
1662,石油資源開発(株),4,1,57154776,40.00,18.93,0.52,175.16,6384.88,100,0,2011-3,2011-5-13,12,199651,13849,17122,10010,175.16,0,6743.83,516098,385428,14288,26898,74.7,0,1.93,2.58,3.30
1701,昭和ＫＤＥ(株),24,2,42000000,0.00,27.27,0.91,4.73,141.71,1000,0,2010-3,2010-5-13,12,13412,343,396,192,4.73,0,141.71,14073,5750,2820,3196,40.9,0,1.39,3.35,2.87
1702,共立マテリアル(株),4,10,20249087,9.00,7.25,0.40,41.54,746.77,1000,0,2011-3,2011-5-10,12,14590,2365,2436,838,41.54,0,727.28,19398,14674,2387,0,75.6,0,4.49,5.81,13.06
1710,ジェイオーグループホールディングス(株),13,7,9969995,0.00,0,0,-1388.48,-452.06,100,0,2009-3,2009-6-1,12,26729,-2380,-3057,-10958,-1388.48,0,-452.06,5121,-4376,569,4799,‐,0,-56.41,0,-15.74
1711,(株)省電舎,13,11,7328,0.00,0,2.38,-65658.40,56768.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,(株)ダイセキ環境ソリューション,13,1 9,59863,400.00,233.20,2.15,748.29,81051.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,第一カッター興業(株),13,4,3000000,10.00,12.16,0.36,42.78,1444.20,100,0,2011-6,2011-8-12,12,7259,204,225,123,42.78,0,1444.20,5492,4154,470,144,75.6,0,2.23,3.00,4.08
1717,明豊ファシリティワークス(株),13,4,12712000,4.00,33.01,0.78,3.09,130.97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,美樹工業(株),13,4,11532630,8.00,4.68,0.35,43.77,578.53,1000,1,2010-12,2011-2-14,12,26082,1439,1399,478,43.77,0,565.77,21153,6189,764,8110,29.3,0,2.24,7.98,6.55
1719,ハザマ,13,1,100000000,0.00,14.06,0.99,13.16,185.98,100,0,2011-3,2011-5-13,12,196701,3978,2654,1560,13.16,10.50,179.62,141150,29011,12000,21232,20.6,0,1.12,5.44,1.90
1720,東急建設(株),13,1,106761205,10.00,4.99,0.67,38.29,283.48,10,0,2011-3,2011-5-11,12,244974,7584,7811,4087,38.29,35.35,283.30,146781,30241,16354,4632,20.6,0,2.64,14.06,5.04
1721,コムシスホールディングス(株),13,1 6,145977886,20.00,11.01,0.66,73.92,1236.43,100,0,2011-3,2011-5-11,12,315480,11785,12140,9543,73.92,73.78,1238.66,237436,160844,10000,8173,67.7,0,4.25,6.13,5.40
1722,ミサワホーム(株),13,1 6 9,38738914,0.00,6.23,0,84.60,-530.93,100,0,2011-3,2011-5-17,12,341387,8723,7875,3133,84.60,25.84,-629.56,176627,23682,23412,46899,13.4,0,1.76,14.13,4.41
1723,日本電技(株),13,4,8197500,30.00,6.51,0.44,97.52,1431.15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,シンクレイヤ(株),13,4,4033780,8.00,3.60,0.53,82.79,566.15,100,0,2011-3,2011-5-13,12,8970,596,585,307,82.79,0,604.60,8335,2199,411,2972,26.4,0,3.62,14.63,6.89
1725,(株)フジタ,13,2,30463619,1.00,8.68,-10.55,22.80,-18.76,100,0,2008-3,2008-5-14,12,350110,10238,8515,10633,22.80,22.75,-15.53,208733,34488,14001,6703,16.5,0,4.72,34.92,3.78
1726,(株)ビーアールホールディングス,13,2,8620000,8.00,54.34,5.48,2.65,26.29,1000,0,2011-3,2011-5-12,12,22134,314,167,21,2.65,0,112.15,11993,922,800,5165,7.7,0,0.14,2.20,1.12
1728,ミサワホーム中国(株),13,4,11540180,5.00,9.98,0.46,22.05,480.66,1000,0,2011-3,2011-5-13,12,29149,396,339,254,22.05,0,475.46,18201,5478,1369,5953,30.1,0,1.39,4.69,1.86
1729,三光ソフランホールディングス(株),13,8,61949600,2.50,-1.68,1.32,-36.35,46.04,1000,0,2008-8,2008-10-14,12,24046,953,652,-2179,-36.35,0,52.91,21279,3141,965,11746,14.8,0,-9.53,-45.70,2.85
1730,麻生フオームクリート(株),13,4,3420000,5.00,10.54,0.34,12.33,388.03,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,(株)北弘電社,13,11,6500000,6.00,3.86,0.21,34.21,624.85,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736,(株)オーテック,13,4,5700000,13.00,13.70,0.32,36.50,1572.27,100,0,2011-3,2011-5-13,12,16891,451,475,205,36.50,0,1594.46,15369,8162,599,1135,53.1,0,1.33,2.49,3.08
1737,三井金属エンジニアリング(株),13,2,12780000,15.00,24.51,0.83,23.79,701.90,1000,0,2011-3,2011-5-13,12,20827,484,579,304,23.79,0,714.47,16387,9128,1085,0,55.7,0,1.95,3.36,3.72
1738,(株)ＮＩＴＴＯＨ,13,10,2030180,13.00,5.66,0.36,59.91,935.31,1000,1,2011-3,2011-5-12,12,5690,217,227,121,59.91,0,905.83,3215,1838,186,226,57.2,0,3.81,6.77,7.15
1739,(株)ＳＥＥＤ,13,4,12300,0.00,0,0.71,-24313.15,58898.70,1,0,2011-3,2011-5-13,12,4079,-186,-231,-276,-24313.15,0,65442.65,3961,744,260,2071,18.8,0,-6.48,-31.27,-5.42
1742,セコムテクノサービス(株),13,2,12987000,0.00,16.63,1.15,188.77,2722.86,500,0,2011-3,2011-5-11,12,63155,3789,4226,2450,188.77,0,2722.86,44554,35350,2357,0,79.3,0,5.62,7.04,9.69
1743,コーアツ工業(株),13,7 11,7600000,5.00,5.38,0.18,26.02,779.68,1000,0,2011-9,2011-11-11,12,6630,209,216,197,26.02,0,779.68,10090,5917,1319,1695,58.6,0,1.87,3.38,2.05
1750,(株)カナック,13,7,6527200,0.00,-0.80,0.71,-226.31,256.51,1000,0,2009-3,2009-5-12,12,7752,-106,-83,-1475,-226.31,0,256.51,5130,1672,932,1202,32.6,0,-24.96,-60.25,-1.40
1751,日立プラントサービス(株),13,4,6409200,15.00,23.19,1.22,38.64,735.87,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1754,東新住建(株),13,4,13027000,15.00,0.04,0,27.49,427.08,100,0,2008-6,2008-8-11,12,98213,1461,448,357,27.49,0,427.08,73227,5561,637,43432,7.6,0,0.48,6.50,0.60
1756,和興エンジニアリング(株),13,4,16905000,6.00,45.22,0.36,3.87,482.33,1000,0,2011-3,2011-5-11,12,29307,86,128,61,3.87,0,482.33,16005,7663,909,2237,47.9,0,0.37,0.79,0.78
1757,クレアホールディングス(株),13,7,1638465997,0.00,0,8.11,-0.87,0.37,10,0,2011-3,2011-5-16,12,382,-450,-626,-592,-0.87,0,0.51,1601,833,6967,7,52.0,0,-45.52,-126.23,-48.14
1758,太洋基礎工業(株),13,4,4098000,12.50,7.04,0.36,61.63,1191.13,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,ミサワホーム北海道(株),13,11,11780800,0.00,0,2.58,-40.83,104.00,1000,0,2010-3,2010-5-14,12,21486,-155,-266,-471,-40.83,0,104.00,16703,1225,1238,10200,7.3,0,-2.85,-39.75,-1.61
1762,(株)高松コンストラクショングループ,13,1 6,38880000,23.00,11.83,0.63,103.60,1933.64,100,1,2011-3,2011-5-12,12,139322,6823,8478,3843,103.60,0,1902.48,139723,70428,5000,3350,50.4,0,2.65,5.57,5.85
1763,北陸ミサワホーム(株),13,4,6706000,10.00,-12.26,0.59,-23.98,500.01,500,0,2009-3,2009-5-13,12,6229,52,89,-160,-23.98,0,500.01,5653,3352,547,524,59.3,0,-2.74,-4.60,1.53
1764,工藤建設(株),13,2,13312200,5.00,5.62,0.69,20.83,168.90,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,東建コーポレーション(株),13,1 9,13472000,80.00,6.03,0.89,460.07,3107.46,10,1,2011-4,2011-6-10,12,214250,9137,9731,6197,460.07,0,3107.46,101707,41859,4800,0,41.2,0,6.42,15.77,10.08
1767,沖ウィンテック(株),13,2,12100000,8.00,31.97,0.57,22.02,1243.21,1000,0,2010-3,2010-4-28,12,25942,541,709,265,22.02,0,1243.21,25720,14985,2001,460,58.3,0,1.01,1.78,2.71
1768,(株)ソネック,13,7,7500000,7.00,9.19,0.44,24.26,506.57,1000,0,2011-3,2011-5-6,12,10497,262,333,178,24.26,0,512.59,7549,3763,723,0,49.8,0,2.57,4.80,4.81
1770,藤田エンジニアリング(株),13,4,11700000,16.00,14.25,0.51,25.97,724.29,1000,0,2011-3,2011-5-13,12,22889,425,486,290,25.97,0,739.61,18773,8281,1029,980,44.1,0,1.64,3.52,2.75
1771,日本乾溜工業(株),13,11,5102000,3.00,1.81,0.53,91.57,314.59,1000,1,2011-9,2011-11-16,12,12333,453,471,453,91.57,34.39,314.59,6193,2581,413,601,41.7,0,7.33,19.11,7.62
1775,富士古河Ｅ＆Ｃ(株),13,2,45132809,3.00,47.02,0.73,3.19,205.20,1000,0,2011-3,2011-4-27,12,54607,130,305,143,3.19,0,219.69,32029,9883,1970,292,30.9,0,0.44,1.44,0.94
